Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,46,8,Some Random Commen with Id 0
1,0,5,24,2,Some Random Commen with Id 1
2,0,5,62,2,Some Random Commen with Id 2
3,0,5,95,4,Some Random Commen with Id 3
4,0,5,191,8,Some Random Commen with Id 4
5,0,5,92,0,Some Random Commen with Id 5
6,0,5,180,1,Some Random Commen with Id 6
7,0,5,151,9,Some Random Commen with Id 7
8,0,5,98,7,Some Random Commen with Id 8
9,1,2,46,8,Some Random Commen with Id 9
10,2,5,17,6,Some Random Commen with Id 10
11,2,5,168,5,Some Random Commen with Id 11
12,3,5,83,6,Some Random Commen with Id 12
13,3,5,153,8,Some Random Commen with Id 13
14,3,5,36,6,Some Random Commen with Id 14
15,3,5,97,7,Some Random Commen with Id 15
16,3,5,195,4,Some Random Commen with Id 16
17,3,5,24,0,Some Random Commen with Id 17
18,3,5,78,6,Some Random Commen with Id 18
19,3,5,69,0,Some Random Commen with Id 19
20,4,2,133,6,Some Random Commen with Id 20
21,4,2,86,3,Some Random Commen with Id 21
22,4,2,111,8,Some Random Commen with Id 22
23,4,2,187,7,Some Random Commen with Id 23
24,4,2,4,2,Some Random Commen with Id 24
25,4,2,19,9,Some Random Commen with Id 25
26,5,0,132,9,Some Random Commen with Id 26
27,5,0,191,6,Some Random Commen with Id 27
28,5,0,40,2,Some Random Commen with Id 28
29,5,0,146,1,Some Random Commen with Id 29
30,5,0,159,9,Some Random Commen with Id 30
31,5,0,133,6,Some Random Commen with Id 31
32,6,4,47,9,Some Random Commen with Id 32
33,6,4,170,7,Some Random Commen with Id 33
34,6,4,14,5,Some Random Commen with Id 34
35,6,4,103,5,Some Random Commen with Id 35
36,7,7,76,1,Some Random Commen with Id 36
37,8,7,48,0,Some Random Commen with Id 37
38,8,7,36,5,Some Random Commen with Id 38
39,8,7,80,2,Some Random Commen with Id 39
40,8,7,106,0,Some Random Commen with Id 40
41,9,3,134,7,Some Random Commen with Id 41
42,9,3,39,5,Some Random Commen with Id 42
43,9,3,121,1,Some Random Commen with Id 43
44,9,3,129,4,Some Random Commen with Id 44
45,9,3,28,0,Some Random Commen with Id 45
46,9,3,17,8,Some Random Commen with Id 46
47,10,2,13,3,Some Random Commen with Id 47
48,10,2,32,5,Some Random Commen with Id 48
49,10,2,4,6,Some Random Commen with Id 49
50,10,2,29,6,Some Random Commen with Id 50
51,10,2,75,8,Some Random Commen with Id 51
52,11,9,18,1,Some Random Commen with Id 52
53,11,9,17,0,Some Random Commen with Id 53
54,11,9,62,0,Some Random Commen with Id 54
55,11,9,24,5,Some Random Commen with Id 55
56,11,9,47,9,Some Random Commen with Id 56
57,11,9,64,8,Some Random Commen with Id 57
58,12,6,9,2,Some Random Commen with Id 58
59,13,5,75,3,Some Random Commen with Id 59
60,13,5,181,8,Some Random Commen with Id 60
61,13,5,87,3,Some Random Commen with Id 61
62,13,5,70,6,Some Random Commen with Id 62
63,14,7,97,0,Some Random Commen with Id 63
64,14,7,31,9,Some Random Commen with Id 64
65,14,7,128,4,Some Random Commen with Id 65
66,14,7,101,8,Some Random Commen with Id 66
67,14,7,40,8,Some Random Commen with Id 67
68,14,7,158,3,Some Random Commen with Id 68
69,14,7,20,4,Some Random Commen with Id 69
70,15,4,54,1,Some Random Commen with Id 70
71,15,4,121,7,Some Random Commen with Id 71
72,15,4,22,6,Some Random Commen with Id 72
73,16,4,11,1,Some Random Commen with Id 73
74,16,4,164,5,Some Random Commen with Id 74
75,16,4,110,8,Some Random Commen with Id 75
76,16,4,91,6,Some Random Commen with Id 76
77,16,4,190,8,Some Random Commen with Id 77
78,16,4,167,6,Some Random Commen with Id 78
79,17,7,155,0,Some Random Commen with Id 79
80,17,7,122,3,Some Random Commen with Id 80
81,17,7,2,3,Some Random Commen with Id 81
82,17,7,144,1,Some Random Commen with Id 82
83,17,7,120,5,Some Random Commen with Id 83
84,17,7,100,8,Some Random Commen with Id 84
85,18,8,36,3,Some Random Commen with Id 85
86,18,8,81,2,Some Random Commen with Id 86
87,18,8,146,2,Some Random Commen with Id 87
88,19,1,167,0,Some Random Commen with Id 88
89,19,1,64,0,Some Random Commen with Id 89
90,19,1,109,6,Some Random Commen with Id 90
91,20,1,85,7,Some Random Commen with Id 91
92,20,1,48,0,Some Random Commen with Id 92
93,20,1,71,1,Some Random Commen with Id 93
94,21,1,112,5,Some Random Commen with Id 94
95,21,1,161,9,Some Random Commen with Id 95
96,21,1,70,4,Some Random Commen with Id 96
97,21,1,182,6,Some Random Commen with Id 97
98,21,1,22,6,Some Random Commen with Id 98
99,21,1,26,1,Some Random Commen with Id 99
100,21,1,174,4,Some Random Commen with Id 100
101,21,1,74,4,Some Random Commen with Id 101
102,21,1,151,5,Some Random Commen with Id 102
103,22,8,90,0,Some Random Commen with Id 103
104,22,8,41,4,Some Random Commen with Id 104
105,22,8,20,5,Some Random Commen with Id 105
106,22,8,127,6,Some Random Commen with Id 106
107,22,8,100,6,Some Random Commen with Id 107
108,22,8,142,4,Some Random Commen with Id 108
109,22,8,113,1,Some Random Commen with Id 109
110,22,8,134,8,Some Random Commen with Id 110
111,22,8,88,1,Some Random Commen with Id 111
112,23,6,162,1,Some Random Commen with Id 112
113,23,6,64,8,Some Random Commen with Id 113
114,23,6,157,5,Some Random Commen with Id 114
115,23,6,133,8,Some Random Commen with Id 115
116,23,6,41,4,Some Random Commen with Id 116
117,23,6,25,4,Some Random Commen with Id 117
118,23,6,83,6,Some Random Commen with Id 118
119,23,6,114,4,Some Random Commen with Id 119
120,24,6,29,1,Some Random Commen with Id 120
121,24,6,29,2,Some Random Commen with Id 121
122,24,6,15,6,Some Random Commen with Id 122
123,24,6,29,2,Some Random Commen with Id 123
124,24,6,57,4,Some Random Commen with Id 124
125,24,6,71,2,Some Random Commen with Id 125
126,24,6,138,0,Some Random Commen with Id 126
127,25,3,118,9,Some Random Commen with Id 127
128,25,3,96,1,Some Random Commen with Id 128
129,25,3,68,5,Some Random Commen with Id 129
130,26,3,158,4,Some Random Commen with Id 130
131,26,3,73,8,Some Random Commen with Id 131
132,26,3,114,3,Some Random Commen with Id 132
133,26,3,151,2,Some Random Commen with Id 133
134,28,8,94,2,Some Random Commen with Id 134
135,28,8,33,6,Some Random Commen with Id 135
136,28,8,88,4,Some Random Commen with Id 136
137,28,8,134,0,Some Random Commen with Id 137
138,28,8,130,9,Some Random Commen with Id 138
139,30,3,190,9,Some Random Commen with Id 139
140,30,3,133,4,Some Random Commen with Id 140
